datetime,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,price_tick,price_decs,volume_multiple,max_limit_order_volume,max_market_order_volume,min_limit_order_volume,min_market_order_volume
2024-05-13 14:30:07.000000,23555,14,23550,19,23560,33,23545,22,23565,49,23540,53,23570,44,23535,33,23575,58,23530,63,23555,23655,23255,23620,,23424,170712,19994154875,77077,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:07.500000,23555,32,23550,12,23560,33,23545,22,23565,49,23540,53,23570,44,23535,33,23575,58,23530,63,23550,23655,23255,23620,,23424,170713,19994272625,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:08.000000,23550,46,23545,22,23555,33,23540,53,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170723,19995450125,77071,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:08.500000,23550,48,23545,13,23555,40,23540,53,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170723,19995450125,77071,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:09.000000,23550,48,23545,13,23555,40,23540,54,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170723,19995450125,77071,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:09.500000,23550,48,23545,12,23555,40,23540,56,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170723,19995450125,77071,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:11.000000,23550,39,23545,12,23555,41,23540,56,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170724,19995567875,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:11.500000,23550,48,23545,15,23555,41,23540,56,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170725,19995685625,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:12.000000,23550,47,23545,15,23555,41,23540,56,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:12.500000,23550,48,23545,15,23555,41,23540,56,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
